STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/1/1990,60,70,15.21,1350,751,0,0,0,,48,27,,330,,,315,,23,,,40.3,,,,,,,,,,,,,,1,,1,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/2/1990,10,0,5.59,50,47,0,0,0,,49,24,,300,,,315,,16.1,,,18.3,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/3/1990,40,20,6.04,1450,1158,0,0,0,,59,29,,240,,,225,,12.1,,,15,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/4/1990,90,100,3.13,1650,1656,0.19,0,0,,58,31,,250,,,270,,8.9,,,15,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/5/1990,90,100,4.47,650,643,0,0,0,,55,45,,300,,,315,,12.1,,,16.1,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/6/1990,90,90,6.04,1053,1007,0.12,0,0,,50,33,,300,,,315,,15,,,24.2,1,1,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/7/1990,100,100,3.58,250,238,0,0,0,,49,31,,20,,,360,,8.1,,,10.3,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/8/1990,70,100,6.49,650,622,0.62,0,0,,41,33,,30,,,45,,14.1,,,17.2,1,,,1,,,,,,,,1,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/9/1990,20,10,8.05,1650,21,0,0,0,,56,29,,170,,,270,,14.1,,,19.5,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/10/1990,40,60,15.43,1250,402,0,0,0,,49,30,,320,,,270,,25.1,,,43.6,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/11/1990,50,90,10.74,2350,2305,0,0,0,,60,25,,320,,,315,,25.9,,,43.6,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/12/1990,30,40,20.8,152,429,0,0,0,,46,27,,280,,,270,,28,,,42.5,,,,,,,,,,,,,,,,1,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/13/1990,30,10,14.76,851,523,0,0,0,,39,24,,280,,,315,,23,,,42.5,,,,,,,,,,,,,,,,1,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/14/1990,80,80,5.59,154,1736,0,0,0,,51,23,,270,,,180,,10.1,,,13.9,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/15/1990,60,70,7.61,950,1015,0,0,0,,58,34,,260,,,270,,15,,,19.5,,,,,,,,,,,,,,1,,,,,,,
